ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7
C1	2.2u,10V	C0402	0805/2.2u/10V/Y						
C3	0.1uF,16V	C0402	0402/0.1uF/16V/Y						
C7	0.1uF,16V	C0402	0402/0.1uF/16V/Y						
C8	0.1uF,16V	C0603	0603/0.1uF/16V						
C10	2.2u,10V	C0805	0805/2.2u/10V/Y5V						
C11	2.2u,16V	C0805	0805/2.2u/16V/Y5V						
C12	2.2u,16V	C0805	0805/2.2u/16V/Y5V						
C13	2.2u,25V	C0805	0805/2.2u/25V/Y5V						
C14	2.2u,16V	C0805	0805/2.2u/16V/Y5V						
C15	2.2u,25V	C0805	0805/2.2u/25V/Y5V						
C16	2.2u,25V	C0805	0805/2.2u/25V/Y5V						
C17	2.2u,16V	C0805	0805/2.2u/16V/Y5V						
C18	2.2u,16V	C0805	0805/2.2u/16V/Y5V						
C19	2.2u,16V	C0805	0805/2.2u/16V/Y5V						
C20	2.2u,16V	C0805	0805/2.2u/16V/Y5V						
C21	1u,10V	C0805	1u/10V/X7R						
C22	2.2u,25V	C0805	0805/2.2u/25V/Y5V						
C23	2.2u,25V	C0805	0805/2.2u/25V/Y5V						
C24	2.2u,16V	C0805	0805/2.2u/16V/Y5V						
C25	2.2u,16V	C0805	0805/2.2u/16V/Y5V						
C26	100n,16V	C0603	0603/100n/16V/X7R						
C27	0.1uF	C0603	0603/0.1uF/Y5V						
C28	2.2uF,16V	C0805	0805/2.2uF/16V/Y5V						
C29	0.1uF	C0603	0603/0.1uF/Y5V						
C30	2.2uF,16V	C0805	0805/2.2uF/16V/Y5V						
D1	BAT54SW	SOT323							
J1	HEADER1X10MS2.54	HEADER1X10MS2.54_SMD							
J2	HEADER1X10MS2.54	HEADER1X10MS2.54_SMD							
J3	HEADER2X10MS2.54	HEADER2X10MS2.54							
J4	ZIF-40-0.5	ZIF-40-0.5-EP-200							
Q1	AP2305	SOT23							
Q2	2N7002KW	SOT323							
Q3	BSS84W	SOT323							
Q4	2N7002KW	SOT323							
Q5	2N7002KW	SOT323							
Q6	2N7002KW	SOT323							
Q7	BSS84W	SOT323							
R1	33k	R0402	0402/33K/5%						
R2	33k	R0402	0402/33k/5%/(NC)						
R3	0R(NC)	R0402	0402/0R/5%/(NC)						
R4	26.7K/1%	R0603	0603/26.7K/1%						
R5	17.8K/1%	R0603	0603/17.8K/1%						
R6	0R	R0402	0402/0R/5%						
R7	0R	R0402	0402/0R/5%						
R8	0R	R0402	0402/0R/5%						
R9	2k	R0603	0603/2k/5%						
R10	100k	R0402	0402/100k/5%						
R11	100k	R0402	0402/100k/5%						
R12	100k	R0402	0402/100k/5%						
R13	0R	R0402	0402/0R/5%						
R14	0R	R0402	0402/0R/5%						
R16	0R	R0402	0402/0R/5%						
R32	0R	R0603	0603/0R/5%						
R33	0R	R0603	0603/0R/5%						
R34	0R(NC)	R0603	0603/0R/5%/(NC)						
SD1	SD_CARD_MICRO	SD_Micro							
SHIELD1	ARDUINO_SHIELD	~							
U1	S-5813A/S-5814A	SNT-4A							
U3	TPS77030	SOT23-5							
U4	TXS0108								
