"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q5,Q2,Q4,Q6";"SOT323";4;"2N7002KW";;;
2;"D1";"SOT323";1;"BAT54SW";;;
3;"Q7,Q3";"SOT323";2;"BSS84W";;;
4;"Q1";"SOT23";1;"DMG2301U-7";;;
5;"C5,C26,C4,C2,C8,C29,C3,C27,C31,C32,C33,C34";"c_0805";12;"0.1u,16V";;;
6;"C30,C20,C18,C17,C14,C11,C19,C24,C25,C12,C28,C1,C35";"c_0805";13;"2.2u,16V";;;
7;"C15,C13,C16,C22,C23";"c_0805";5;"2.2u,25V";;;
8;"C10";"c_0805";1;"2.2u,10V";;;
9;"C7";"c_0805";1;"1u,16V";;;
10;"C21";"c_0805";1;"1u,10V";;;
11;"R1,R2";"r_0805";2;"33k";;;
12;"R12,R11,R10";"r_0805";3;"100k";;;
13;"R9";"r_0805";1;"2k";;;
14;"R3";"r_0805";1;"0R(NC)";;;
15;"R16,R4,R5,R6,R7,R8,R13";"r_0805";7;"10k";;;
16;"U1";"SOT23-3-Temp";1;"MCP9700AT-E/TT";;;
17;"XA3,A0_3V3,PB2,A0,XB3,U5/7";"I/O";6;"I/O";;;
18;"P3";"Header_FTDI";1;"FTDI";;;
19;"U2";"TQFP32";1;"ATMEGA328-AU-ND";;;
20;"H1,H2,H5,H6";"vite_3mm";4;"I/O";;;
21;"P4";"pin_strip_4-90";1;"C3SB";;;
22;"P1";"PCB";1;"PCB";;;
23;"U3";"SOT23";1;"MCP1700T-33";;;
24;"P2";"Header_ISP";1;"ISP";;;
25;"P7";"USB_B_Micro";1;"UUSB_B";;;
26;"U6";"SOT23";1;"MCP1702T-50";;;
27;"D2";"d_VMD2";1;"DB2S20500L";;;
28;"U5";"SO8E";1;"DS1307";;;
29;"C6,C9";"c_0603";2;"22pF";;;
30;"X1";"Xtal_SMD";1;"8MHz";;;
31;"X2";"XTAL_3";1;"32.768kHz";;;
32;"P5";"CONN_JST-2_SMD";1;"JST_3V7";;;
33;"BT2";"CR2032";1;"BATT_COIN";;;
34;"G3";"repaper_logo";1;"repaper";;;
35;"G4";"OSHW_logo";1;"OSHW";;;
36;"SL1";"ShortLink";1;"S_LINK";;;
37;"J4";"ZIF-40-0.5-M_seeed";1;"ZIF-40-0.5";;;
38;"P6";"JACK_ALIM";1;"V_IN";;;
39;"U4";"TXS0108EPWR";1;"TXS0108";;;
40;"SD1";"SD_Micro_seeed";1;"SD_CARD_MICRO";;;
41;"R14";"r_0805";1;"1k5";;;
42;"BT1";"CR2450_SMD";1;"Batt_Clip";;;
43;"G2";"seeed";1;"seeed";;;
44;"G1";"wyo_logo";1;"WYO";;;
45;"D3";"led_0805";1;"DEBUG";;;
46;"G5";"OHS2013";1;"OSHW";;;
47;"SHIELD1";"ARDUINO_SHIELD_040pins";1;"ARDUINO_SHIELD";;;
48;"SW5";"SW_SMD";1;"MODE";;;
49;"SW3";"SW_SMD";1;"DOWN";;;
50;"SW2";"SW_SMD";1;"SEL";;;
51;"SW1";"SW_SMD";1;"UP";;;
52;"SW4";"SW_SMD";1;"RST";;;
53;"SW6";"SW_SLIDE_seeed";1;"SW_ON";;;
