"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P7,P10,P9,P8";"vite_3mm";4;"CONN_1";;;
2;"DP1";"LED_4x7Seg";1;"LED_4X7SEG";;;
3;"U4";"dil_16-300_socket";1;"ULN2003";;;
4;"X1";"XTAL";1;"16MHz";;;
5;"D3";"led_5mm_clear";1;"DBG";;;
6;"D4";"led_5mm_blue";1;"PWR";;;
7;"P2,P4";"pin_strip_7";2;"METER_L";;;
8;"P3,P1";"pin_strip_7";2;"METER_H";;;
9;"U1";"DIP-8__300_ELL";1;"SSR";;;
10;"P6";"pin_strip_4";1;"I2C";;;
11;"C3,C4,C6,C7";"C2";4;"100n";;;
12;"C10,C9,C8";"C2";3;"10n";;;
13;"U2";"TO-220_Vertical";1;"7805";;;
14;"PCB1";"PCB";1;"PCB";;;
15;"K4";"pin_strip_3x2";1;"ISP";;;
16;"C5";"CP_5x11mm";1;"100u";;;
17;"SW1";"SW_PB_V";1;"RST";;;
18;"K3";"pin_strip_6";1;"FTDI";;;
19;"P5";"Pad01";1;"CONN_1";;;
20;"R8";"RC03";1;"1k";;;
21;"R7";"RC03";1;"150E";;;
22;"R5";"RC03";1;"10k";;;
23;"R4,R2";"RC03";2;"40k";;;
24;"R3,R1";"RC03";2;"110k";;;
25;"U3";"dil_28-300_socket";1;"ATMEGA328-P";;;
26;"R12";"rc03_vert";1;"2k";;;
27;"R10,R11";"rc03_vert";2;"1k5";;;
28;"K2";"bornier2";1;"LOAD";;;
29;"K1";"bornier3";1;"BAT_MON";;;
30;"D5";"DO-35_Vert";1;"Z15V";;;
31;"D2,D1";"DO-35";2;"Z5V1";;;
32;"SW2";"SW-PB-MOD";1;"RST";;;
33;"K6";"pin_strip_3";1;"V_SEL";;;
34;"K5";"pin_strip_3x2";1;"V_CUTOFF";;;
35;"P11,P12";"pin_strip_6b";2;"DIP_SW";;;
