"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D7";"led_5mm_clear";1;"BLINK";;;
2;"D6";"led_5mm_clear";1;"3V3";;;
3;"D5";"led_5mm_clear";1;"5V0";;;
4;"C25,C24,C23,C21,C20,C17,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C1";"C2";19;"100n";;;
5;"C3,C2";"cnp_3mm_disc";2;"22p";;;
6;"SC26,SC25,SC24,SC23,SC22,SC21,SC13,SC14,SC15,SC16,SC20,SC19,SC18,SC17,SC2,SC3,SC4,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC1,SC5";"vite_3mm";26;"SCREW";;;
7;"P25";"pin_strip_3-90";1;"U6_OE";;;
8;"P10,P9";"pin_strip_4-90";2;"C3SB";;;
9;"P6";"pin_strip_3-90";1;"Pulse";;;
10;"U4";"SOT223";1;"NCP1117DT33G";;;
11;"BT1";"CR2032";1;"BATT_HOLDER";;;
12;"M1";"Manifold2";1;"MANIFOLD";;;
13;"P21";"SIL-4";1;"Temp_Conn_BO";;;
14;"P20";"SIL-4";1;"Temp_Conn";;;
15;"U7";"DIP-28__300_ELL";1;"ATMEGA328P";;;
16;"PCB3";"PCB_Flow";1;"PCB_Flow";;;
17;"PCB1";"PCB";1;"PCB";;;
18;"P12";"Header_5V_Link";1;"Valve_Conn";;;
19;"P13";"Header_5V_Link";1;"Valve_Conn_BO";;;
20;"P24";"JACK_ALIM";1;"12V";;;
21;"U5";"DS3231";1;"DS3231N";;;
22;"U3";"SOT223";1;"NCP1117ST50T3G";;;
23;"U6";"TXS0108EPWR";1;"TSX0108";;;
24;"P26";"Header_U6OE";1;"5V_LINK";;;
25;"P19";"Conn_Pump_Flex";1;"PUMP_CONN_FLEX";;;
26;"P16";"FlowMeter";1;"FLOWMETER";;;
27;"P7";"HCEM500GUH9P3";1;"GAGE_PR";;;
28;"P8";"HDIB002AUY8H5";1;"ABSO_PR";;;
29;"P18";"Header_FTDI";1;"Pump_Conn_BO";;;
30;"P17";"Header_FTDI";1;"Pump_Conn";;;
31;"P11";"SIL-3";1;"VSel_Vlv";;;
32;"U1";"TXB0104D";1;"TXB0104D";;;
33;"U2";"TXS0102DCTR";1;"TXS0102DCT";;;
34;"P5";"Header_FTDI";1;"FTDI";;;
35;"P3";"Header_6x1";1;"ANALOG_GND";;;
36;"P2";"Header_6x1";1;"ANALOG_5V0";;;
37;"P1";"Header_A_REF";1;"AREF";;;
38;"G2,G1";"Logo-WL3";2;"Logo_Wyolum";;;
39;"G4,G3";"OSHW_6mm";2;"Logo_OH";;;
40;"B3,B1,B2";"I/O";3;"I/O";;;
41;"D2,D3";"diode_do35";2;"1N5225B";;;
42;"D1,D4";"diode_do41";2;"1N4001";;;
43;"C18,C22";"cnp_3mm_disc";2;"2u2_Tant";;;
44;"C16";"c_0805";1;"100n";;;
45;"P29";"Header_F_6x2";1;"VLV_90_F";;;
46;"PCB6";"PCB_Mfold";1;"PCB_MFold";;;
47;"PCB2";"PCB_Pump";1;"PCB_Pump";;;
48;"PCB5";"PCB_Vlv";1;"PCB_Vlv";;;
49;"D8";"led_5mm_clear";1;"12V";;;
50;"P23";"Pump";1;"PUMP";;;
51;"P15";"Conn_Flow";1;"FLOW_CONN";;;
52;"R13,R10";"rc03_vert";2;"1k";;;
53;"R12,R7,R4,R3,R2,R1";"rc03_vert";6;"10K";;;
54;"R9";"rc03_vert";1;"120E";;;
55;"R8";"rc03_vert";1;"330E";;;
56;"R6,R5";"rc03_vert";2;"47E";;;
57;"X1";"XTAL";1;"16MHz";;;
58;"Q1";"TO220-3-V";1;"TIP112G";;;
59;"P22";"STS21";1;"Temp";;;
60;"P28";"2X06/90";1;"VLV_90_M";;;
61;"R11";"RC03";1;"10K";;;
62;"C26,C19,C27";"CP_6.3x7mm";3;"100u,16V";;;
63;"SW1";"SW_PB_V_H";1;"Reset";;;
64;"P14";"Valve";1;"X_VALVE";;;
65;"SHIELD1";"ARDUINO_SHIELD_2_040pins";1;"ARDUINO_SHIELD";;;
66;"P27";"Header_GPIO";1;"BCM2835_GPIO";;;
67;"P30";"Valve_Conn";1;"X_VALVE_CONN";;;
68;"P4";"Header_ICSP";1;"ICSP";;;
